id,jp,romaji,en,tags,pattern,note
059,"ご無理のないように。","Go-muri no nai yō ni.","Please don’t feel pressured.","invites;grace","配慮","—"
060,"また今度誘ってもいいですか。","Mata kondo sasotte mo ii desu ka?","May I invite you another time?","invites;soft","~てもいいですか","—"
061,"今週は難しいですが、来週なら。","Konshū wa muzukashii desu ga, raishū nara.","This week’s tough, but next week works.","invites;alt","なら","—"
062,"朝のほうが動きやすいです。","Asa no hō ga ugokiyasui desu.","Mornings are easier.","invites;pref","ほうが","—"
063,"夜は静かな店がいいです。","Yoru wa shizuka na mise ga ii desu.","At night, a quiet place is better.","invites;pref","がいい","—"
064,"日程が近づいたら再確認しましょう。","Nittei ga chikaduitara saikakunin shimashō.","Let’s reconfirm as the date nears.","invites;confirm","再確認","—"
065,"急用が入ったら、すぐに連絡します。","Kyūyō ga haittara, sugu ni renraku shimasu.","If something urgent comes up, I’ll text immediately.","invites;heads-up","急用","—"
066,"無理に合わせなくて大丈夫です。","Muri ni awasenakute daijōbu desu.","No need to force it.","invites;grace","配慮","—"
067,"当日の朝に最終確認しましょう。","Tōjitsu no asa ni saishū kakunin shimashō.","Let’s do a final check the morning of.","invites;confirm","最終確認","—"
068,"時間変更になったら、こちらに連絡してください。","Jikan henkō ni nattara, kochira ni renraku shite kudasai.","If the time changes, contact me here.","invites;process","連絡","—"
069,"無理のない範囲で早めにお知らせいただけると助かります。","Muri no nai han’i de hayame ni oshirase itadakeru to tasukarimasu.","If possible, early heads-up helps.","invites;grace","助かります","—"
070,"また別の機会にぜひ。","Mata betsu no kikai ni zehi.","Let’s do it another time for sure.","invites;grace","ぜひ","—"
071,"来週、〇〇駅周辺はいかがですか。","Raishū, 〇〇-eki shūhen wa ikaga desu ka?","Next week near [Station]?","invites;place","周辺","Replace 〇〇"
072,"〇時から〇時の間なら行けます。","〇-ji kara 〇-ji no aida nara ikemasu.","I can do between X and Y.","invites;time","~の間なら","Replace 〇"
073,"五分ほど遅れるかもしれません。","Go-fun hodo okureru kamoshiremasen.","I might be about five minutes late.","invites;heads-up","ほど","—"
074,"急に予定が入ったら、また調整します。","Kyū ni yotei ga haittara, mata chōsei shimasu.","If something pops up, we’ll adjust.","invites;grace","調整","—"
075,"またメッセージしますね。","Mata messēji shimasu ne.","I’ll message again.","invites;process","—","—"
076,"駅の中央改札の前はどうですか。","Eki no chūō kaisatsu no mae wa dō desu ka?","In front of the central gate?","invites;place","場所提案","—"
077,"静かなカフェか、公園のベンチでも。","Shizuka na kafe ka, kōen no benchi demo.","A quiet cafe or a park bench works.","invites;place","代替","—"
078,"日程が合わなければ、また次回に。","Nittei ga awanakereba, mata jikai ni.","If dates don’t match, next time.","invites;grace","—","—"
079,"無理せず、また都合のいい時に。","Muri sezu, mata tsugō no ii toki ni.","No rush—whenever convenient.","invites;grace","—","—"
080,"都合がつき次第、連絡します。","Tsugō ga tsuki shidai, renraku shimasu.","I’ll contact you once I can.","invites;process","~し次第","—"
081,"来週の木曜はどうでしょう。","Raishū no mokuyō wa dō deshō?","Would next Thursday work?","invites;propose","どうでしょう","—"
082,"午前と午後、どちらが都合いいですか。","Gozen to gogo, dochira ga tsugō ii desu ka?","Morning or afternoon?","invites;time","どちらが","—"
083,"短めのコーヒーでもどうですか。","Mijikame no kōhī demo dō desu ka?","Even a short coffee?","invites;light","でも~?","—"
084,"まずは30分だけでも。","Mazu wa 30-pun dake demo.","Even just 30 minutes to start.","invites;light","まずは","—"
085,"前日にもう一度確認しましょう。","Zenjitsu ni mō ichido kakunin shimashō.","Let’s confirm again the day before.","invites;confirm","もう一度","—"
086,"ロケーションはここでどうですか（リンク）。","Rokēshon wa koko de dō desu ka (link).","How about this location (link)?","invites;place","リンク","—"
087,"駅から何分くらいですか。","Eki kara nan-pun kurai desu ka?","How many minutes from the station?","invites;place","所要","—"
088,"現地集合・現地解散で。","Genchi shūgō / genchi kaisan de.","Meet on-site and split from there.","invites;logistics","現地","—"
089,"混んでいたら、近くに移動しましょう。","Konde itara, chikaku ni idō shimashō.","If crowded, let’s move nearby.","invites;contingency","移動","—"
090,"また予定を合わせましょう。","Mata yotei o awasemashō.","Let’s align schedules again.","invites;grace","合わせましょう","—"
091,"今回は参加できませんが、楽しんできてください。","Konkai wa sanka dekimasen ga, tanoshinde kite kudasai.","I can’t join this time—have fun!","invites;grace","—","—"
092,"急ぎではないので、ご都合の良い時に。","Isogi de wa nai node, go-tsugō no yoi toki ni.","No rush—whenever suits you.","invites;grace","—","—"
093,"またスケジュール送ります。","Mata sukejūru okurimasu.","I’ll send my schedule again.","invites;process","—","—"
094,"変更があれば、早めに連絡いただけると助かります。","Henkō ga areba, hayame ni renraku itadakeru to tasukarimasu.","If changes, early notice helps.","invites;policy","—","—"
095,"駅の周辺で静かな場所はありますか。","Eki no shūhen de shizuka na basho wa arimasu ka?","Is there a quiet spot near the station?","invites;place","—","—"
096,"じゃあ、また日程を調整しましょう。","Jaa, mata nittei o chōsei shimashō.","Let’s reschedule then.","invites;resched","—","—"
097,"今回は見送りでお願いします。","Konkai wa miokuri de onegai shimasu.","I’ll pass this time.","invites;decline","見送り","—"
098,"予定が固まったら連絡します。","Yotei ga katamattara renraku shimasu.","I’ll message once plans are firm.","invites;process","—","—"
099,"当日、到着したら連絡します。","Tōjitsu, tōchaku shitara renraku shimasu.","I’ll text when I arrive that day.","invites;logistics","—","—"
100,"今日はありがとう。次回もぜひ。","Kyō wa arigatō. Jikai mo zehi.","Thanks today—let’s do it again.","invites;close","—","—"

